# Rescaled matter transfer functions [-T_i(k)/k^2] for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=2.08097e-07 to 53.7839 h/Mpc,
# number of wavenumbers equal to 6856
# T_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# The rescaling factor [-1/k^2] with k in 1/Mpc is here to match the CMBFAST/CAMB output convention
#
#
#    1:k (h/Mpc)              2:-T_cdm/k2              3:-T_b/k2                4:-T_g/k2                5:-T_ur/k2               6:-T_ncdm/k2             7:-T_tot/k2          
       3.237627428182e-05       1.989339665379e+07       1.989339221403e+07       2.639015812478e+07       0.000000000000e+00       1.989517676026e+07       6.161264844791e+06 
       3.302331790910e-05       1.989338834806e+07       1.989338372924e+07       2.638473577699e+07       0.000000000000e+00       1.989516527929e+07       6.161261936625e+06 
       3.367058117399e-05       1.989337987523e+07       1.989337507377e+07       2.637920529606e+07       0.000000000000e+00       1.989515356730e+07       6.161258970007e+06 
       3.431806847372e-05       1.989337123511e+07       1.989336624740e+07       2.637356659708e+07       0.000000000000e+00       1.989514162399e+07       6.161255944863e+06 
       3.496578421048e-05       1.989336242746e+07       1.989335724991e+07       2.636781959349e+07       0.000000000000e+00       1.989512944905e+07       6.161252861121e+06 
       3.561373279153e-05       1.989335345207e+07       1.989334808107e+07       2.636196419705e+07       0.000000000000e+00       1.989511704218e+07       6.161249718704e+06 
       3.626191862931e-05       1.989334430870e+07       1.989333874065e+07       2.635600031788e+07       0.000000000000e+00       1.989510440304e+07       6.161246517535e+06 
       3.691034614152e-05       1.989333499711e+07       1.989332922839e+07       2.634992786446e+07       0.000000000000e+00       1.989509153131e+07       6.161243257535e+06 
       3.755901975122e-05       1.989332551707e+07       1.989331954407e+07       2.634374674357e+07       0.000000000000e+00       1.989507842665e+07       6.161239938624e+06 
       3.820794388694e-05       1.989331586834e+07       1.989330968744e+07       2.633745686039e+07       0.000000000000e+00       1.989506508874e+07       6.161236560721e+06 
       3.885712298278e-05       1.989330605067e+07       1.989329965823e+07       2.633105811840e+07       0.000000000000e+00       1.989505151721e+07       6.161233123741e+06 
       3.950656147852e-05       1.989329606381e+07       1.989328945621e+07       2.632455041945e+07       0.000000000000e+00       1.989503771172e+07       6.161229627602e+06 
       4.015626381968e-05       1.989328590749e+07       1.989327908109e+07       2.631793366373e+07       0.000000000000e+00       1.989502367191e+07       6.161226072215e+06 
       4.080623445767e-05       1.989327558147e+07       1.989326853262e+07       2.631120774976e+07       0.000000000000e+00       1.989500939742e+07       6.161222457495e+06 
       4.145647784987e-05       1.989326508546e+07       1.989325781054e+07       2.630437257442e+07       0.000000000000e+00       1.989499488787e+07       6.161218783350e+06 
       4.210699845973e-05       1.989325441921e+07       1.989324691455e+07       2.629742803293e+07       0.000000000000e+00       1.989498014288e+07       6.161215049692e+06 
       4.275780075687e-05       1.989324358244e+07       1.989323584439e+07       2.629037401887e+07       0.000000000000e+00       1.989496516208e+07       6.161211256427e+06 
       4.340888921719e-05       1.989323257487e+07       1.989322459977e+07       2.628321042414e+07       0.000000000000e+00       1.989494994508e+07       6.161207403463e+06 
       4.406026832296e-05       1.989322139621e+07       1.989321318039e+07       2.627593713901e+07       0.000000000000e+00       1.989493449146e+07       6.161203490703e+06 
       4.471194256293e-05       1.989321004619e+07       1.989320158598e+07       2.626855405207e+07       0.000000000000e+00       1.989491880085e+07       6.161199518051e+06 
       4.536391643245e-05       1.989319852450e+07       1.989318981622e+07       2.626106105027e+07       0.000000000000e+00       1.989490287281e+07       6.161195485408e+06 
