# Rescaled matter transfer functions [-T_i(k)/k^2] for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=2.08097e-07 to 53.7894 h/Mpc,
# number of wavenumbers equal to 6855
# T_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# The rescaling factor [-1/k^2] with k in 1/Mpc is here to match the CMBFAST/CAMB output convention
#
#
#    1:k (h/Mpc)              2:-T_cdm/k2              3:-T_b/k2                4:-T_g/k2                5:-T_ur/k2               6:-T_ncdm/k2             7:-T_tot/k2          
       6.313919978986e-05       1.989293341032e+07       1.989291657320e+07       2.601620547406e+07       0.000000000000e+00       1.988895549780e+07       6.161037707605e+06 
       6.380188008473e-05       1.989291696360e+07       1.989289977250e+07       2.600556770942e+07       0.000000000000e+00       1.988893303137e+07       6.161031957281e+06 
       6.446499457770e-05       1.989290033487e+07       1.989288278590e+07       2.599481587044e+07       0.000000000000e+00       1.988891031610e+07       6.161026143516e+06 
       6.512854802043e-05       1.989288352369e+07       1.989286561298e+07       2.598394979419e+07       0.000000000000e+00       1.988888735139e+07       6.161020266164e+06 
       6.579254517450e-05       1.989286652961e+07       1.989284825326e+07       2.597296931609e+07       0.000000000000e+00       1.988886413662e+07       6.161014325075e+06 
       6.645699081151e-05       1.989284935219e+07       1.989283070631e+07       2.596187426993e+07       0.000000000000e+00       1.988884067118e+07       6.161008320102e+06 
       6.712188971322e-05       1.989283199098e+07       1.989281297165e+07       2.595066448785e+07       0.000000000000e+00       1.988881695444e+07       6.161002251091e+06 
       6.778724667165e-05       1.989281444552e+07       1.989279504882e+07       2.593933980034e+07       0.000000000000e+00       1.988879298577e+07       6.160996117890e+06 
       6.845306648918e-05       1.989279671534e+07       1.989277693734e+07       2.592790003628e+07       0.000000000000e+00       1.988876876453e+07       6.160989920344e+06 
       6.911935397870e-05       1.989277879998e+07       1.989275863675e+07       2.591634502289e+07       0.000000000000e+00       1.988874429007e+07       6.160983658295e+06 
       6.978611396367e-05       1.989276069896e+07       1.989274014656e+07       2.590467458576e+07       0.000000000000e+00       1.988871956173e+07       6.160977331586e+06 
       7.045335127828e-05       1.989274241181e+07       1.989272146628e+07       2.589288854884e+07       0.000000000000e+00       1.988869457886e+07       6.160970940057e+06 
       7.112107076755e-05       1.989272393804e+07       1.989270259542e+07       2.588098673446e+07       0.000000000000e+00       1.988866934079e+07       6.160964483545e+06 
       7.178927728744e-05       1.989270527715e+07       1.989268353348e+07       2.586896896330e+07       0.000000000000e+00       1.988864384684e+07       6.160957961886e+06 
       7.245797570497e-05       1.989268642867e+07       1.989266427996e+07       2.585683505442e+07       0.000000000000e+00       1.988861809632e+07       6.160951374916e+06 
       7.312717089833e-05       1.989266739208e+07       1.989264483434e+07       2.584458482524e+07       0.000000000000e+00       1.988859208855e+07       6.160944722466e+06 
       7.379686775700e-05       1.989264816688e+07       1.989262519611e+07       2.583221809157e+07       0.000000000000e+00       1.988856582282e+07       6.160938004369e+06 
